id,wea_conditions,wea_temp,wea_dptemp,wea_humidity,wea_windspeed,wea_winddir,wea_visibility,wea_pressure,wea_precipitation,wea_fog,wea_rain,wea_snow
634,Clear,23.9,6.7,33,9.3,0,16.1,29.9,,No,No,No
8284,Mostly_Cloudy,0,-10,48,,0,16.1,29.8,,No,No,No
8316,Clear,15.6,6.1,53,7.4,290,14.5,29.8,,No,No,No
5993,Clear,9.4,-0.6,50,13,210,16.1,30.2,,No,No,No
2904,Light_Rain,8.3,-1.1,52,14.8,10,16.1,30.1,0,No,Y,No
502,Mostly_Cloudy,15,-1.7,32,9.3,0,16.1,30,,No,No,No
575,Clear,-2.2,-16.7,33,18.5,40,16.1,30.5,,No,No,No
3084,Overcast,27.2,17.8,56,0,0,12.9,30.1,,No,No,No
7184,Scattered_Clouds,12.2,7.8,75,5.6,0,16.1,30.3,,No,No,No
2459,Clear,17.8,6.1,46,7.4,0,16.1,30.1,,No,No,No
3579,Clear,20.6,13.9,65,9.3,0,11.3,30.1,,No,No,No
5274,Light_Rain,21.7,20.6,93,0,0,6.4,29.8,0.3,No,Y,No
6050,Clear,20.6,7.8,44,5.6,0,16.1,30,,No,No,No
662,Haze,26.7,17.8,58,0,0,9.7,29.9,,No,No,No
2855,Overcast,8.3,5.6,83,7.4,0,16.1,29.7,,No,No,No
5492,Clear,22,20,88,0,0,16.1,29.9,,No,No,No
1713,Clear,13.3,5,57,5.6,270,16.1,30.1,,No,No,No
2715,Overcast,11.1,9.4,89,7.4,0,4.8,29.8,,No,No,No
7886,Mostly_Cloudy,4.4,-6.1,47,7.4,0,16.1,29.7,,No,No,No
7329,Rain,6.7,5,89,7.4,40,2.4,29.8,2.8,No,Y,No
2619,Rain,13.9,12.2,89,11.1,170,1.6,30,5.1,No,Y,No
2524,Clear,-2.8,-11.7,51,5.6,0,16.1,30.4,,No,No,No
551,Clear,23,13,53,13,260,16.1,30.1,,No,No,No
6048,Haze,16.1,13.3,83,7.4,0,9.7,30,,No,No,No
8290,Overcast,-1.1,-2.8,88,16.7,80,4.8,30.3,0,No,No,No
1642,Overcast,5,-2.2,60,14.8,50,16.1,30.2,,No,No,No
2543,Light_Snow,1.1,-2.8,75,9.3,90,4,30,0,No,No,Y
3365,Overcast,19.4,17.2,87,0,0,11.3,29.9,,No,No,No
976,Clear,10.6,-5,33,0,0,16.1,30.1,,No,No,No
3350,Overcast,0,-2.2,85,9.3,0,4.8,30.1,,No,No,No
6763,Mostly_Cloudy,10.6,0,48,0,0,16.1,30,,No,No,No
2948,Clear,2.8,-8.9,42,7.4,0,16.1,30.2,,No,No,No
440,Clear,18.9,8.9,52,7.4,0,16.1,30.3,,No,No,No
568,Mostly_Cloudy,14.4,8.9,70,0,0,14.5,30.1,,No,No,No
7331,Haze,7.8,5,83,13,80,9.7,29.9,,No,No,No
6528,Overcast,1.1,-0.6,89,13,60,3.2,30.2,0,No,No,No
2123,Clear,2.2,-15,27,9.3,270,16.1,30.4,,No,No,No
7420,Overcast,20.6,19.4,93,5.6,200,4,29.9,0.8,No,No,No
6880,Mostly_Cloudy,4.4,-5.6,49,16.7,310,16.1,30.1,,No,No,No
1980,Clear,-0.6,-15,33,5.6,40,16.1,30.4,,No,No,No
4842,Overcast,17.8,11.1,65,13,60,16.1,30.3,,No,No,No
6993,Clear,7.8,1.1,63,5.6,0,16.1,30.4,,No,No,No
5530,Clear,6.7,-5,43,11.1,0,16.1,29.8,,No,No,No
2357,Clear,11.7,-3.3,35,,0,16.1,30.3,,No,No,No
4358,Clear,9.4,-2.8,43,13,20,16.1,30.3,,No,No,No
4242,Overcast,2.2,0,86,29.6,70,6.4,30.2,0,No,No,No
3891,Clear,15,-0.6,35,16.7,250,16.1,29.8,,No,No,No
7203,Clear,21.1,9.4,47,5.6,280,12.9,30.1,,No,No,No
524,Scattered_Clouds,13.9,8.3,69,0,0,14.5,29.5,,No,No,No
2822,Overcast,0.6,-1.1,89,9.3,70,2.8,30.2,0.3,No,No,No
3466,Clear,-3.9,-15.6,41,7.4,0,16.1,30.3,,No,No,No
5214,Clear,8.9,-6.7,33,9.3,0,16.1,30,,No,No,No
8291,Overcast,16.1,12.8,81,9.3,0,16.1,29.8,0,No,No,No
7765,Overcast,9.4,3.9,69,9.3,0,14.5,30,,No,No,No
7996,Overcast,11.7,1.7,50,5.6,30,16.1,30.2,,No,No,No
5863,Clear,25,7.8,33,7.4,250,14.5,30.1,,No,No,No
4676,Overcast,25.6,12.8,45,20.4,30,16.1,30,,No,No,No
2708,Clear,26,14,47,11.1,20,16.1,30,,No,No,No
1938,Overcast,4.4,2.8,89,7.4,0,8,30,0.3,No,No,No
5856,Clear,6.7,-6.7,38,,0,16.1,29.8,,No,No,No
5789,Overcast,11.1,9.4,89,7.4,70,8,29.9,,No,No,No
946,Clear,17.8,8.9,56,,0,16.1,29.8,,No,No,No
789,Light_Snow,-0.6,-2.2,89,24.1,10,1.2,30.1,0,No,No,Y
208,Overcast,10,-1.7,44,0,0,16.1,30,,No,No,No
1747,Overcast,3,2,93,20.4,70,4.8,30.1,0.5,No,No,No
977,Partly_Cloudy,-6.7,-21.1,32,25.9,290,16.1,30,,No,No,No
612,Overcast,8.9,5,77,5.6,270,16.1,29.9,,No,No,No
2982,Overcast,13.3,5.6,60,18.5,60,16.1,29.6,,No,No,No
3691,Overcast,8.3,6.7,90,7.4,0,4,29.6,,No,No,No
2664,Partly_Cloudy,1.7,-7.2,52,0,0,16.1,30.2,,No,No,No
4783,Scattered_Clouds,23.9,20,79,,0,16.1,30,,No,No,No
7327,Mostly_Cloudy,22.8,11.7,49,7.4,0,16.1,29.9,,No,No,No
6886,Clear,22.2,13.3,57,13,150,16.1,30.2,,No,No,No
3465,Clear,9.4,0,52,14.8,180,16.1,30.2,,No,No,No
22,Light_Rain,21.1,20,93,0,0,4,30.1,9.1,No,Y,No
3812,Clear,18.3,-2.8,24,7.4,0,16.1,29.9,,No,No,No
163,Clear,1.1,-12.8,35,14.8,310,16.1,30,,No,No,No
5218,Light_Rain,12.2,11.1,93,0,0,3.2,29.9,1,No,Y,No
1929,Clear,7.2,-14.4,20,7.4,10,16.1,30.1,,No,No,No
779,Unknown,14,1.3,42,,0,,,,No,No,No
6442,Clear,4.4,-8.9,38,11.1,0,16.1,30,,No,No,No
6617,Overcast,0,-4.4,73,14.8,10,16.1,30,,No,No,No
633,Haze,19.4,16.7,84,0,0,8,30.1,,No,No,No
6252,Clear,3.3,-7.2,47,,0,16.1,30.3,,No,No,No
7943,Mostly_Cloudy,12.8,5.6,62,13,200,16.1,29.2,,No,No,No
989,Clear,15.6,-6.7,21,7.4,0,16.1,30.3,,No,No,No
4801,Clear,24.4,13.9,52,7.4,0,14.5,30.1,,No,No,No
7266,Overcast,17.8,14.4,80,5.6,0,11.3,30.1,,No,No,No
819,Clear,19.4,5.6,40,13,80,16.1,29.9,,No,No,No
93,Clear,15.6,4.4,47,9.3,0,16.1,30.1,,No,No,No
337,Unknown,13.3,5.6,60,5.6,50,16.1,29.9,,No,No,No
3942,Overcast,21.7,10,47,7.4,280,16.1,29.7,,No,No,No
134,Haze,27.2,22.2,74,13,260,9.7,29.7,,No,No,No
4090,Clear,6.1,-8.9,34,11.1,280,16.1,30.2,,No,No,No
2705,Clear,16.7,3.3,41,,0,16.1,30.2,,No,No,No
3034,Clear,13.3,-3.9,30,5.6,200,16.1,30.2,,No,No,No
6275,Haze,15,10,72,0,0,9.7,29.9,,No,No,No
6748,Clear,15.6,-3.3,27,9.3,230,16.1,29.8,,No,No,No
300,Partly_Cloudy,21.7,12.8,57,9.3,0,16.1,29.8,,No,No,No
5823,Overcast,-5,-9.4,72,13,60,12.9,30.4,,No,No,No
7707,Overcast,8.9,5.6,80,20.4,30,16.1,29.8,,No,No,No
1426,Mostly_Cloudy,25.6,14.4,50,9.3,0,14.5,29.6,,No,No,No
3645,Heavy_Rain,21.7,20.6,93,0,0,1.6,29.8,11.7,No,Y,No
167,Overcast,18.3,15,81,9.3,0,12.9,30.2,,No,No,No
4959,Heavy_Rain,8.9,7.2,89,25.9,70,0.8,29.7,2.3,Y,Y,No
3186,Mostly_Cloudy,2.8,-8.3,44,0,0,16.1,30.2,,No,No,No
2889,Overcast,3.3,1.7,89,18.5,60,4.8,30,0.5,No,No,No
2224,Mostly_Cloudy,24.4,16.1,60,9.3,60,12.9,30,,No,No,No
3046,Clear,3.9,-3.3,60,11.1,0,16.1,30.1,,No,No,No
543,Overcast,8.9,3.9,71,16.7,260,16.1,29.6,,No,No,No
369,Mostly_Cloudy,22.2,17.2,73,9.3,160,16.1,30.1,,No,No,No
6740,Clear,12.2,-5,30,16.7,40,16.1,30.3,,No,No,No
6493,Clear,-11.1,-18.9,53,11.1,0,16.1,30.5,,No,No,No
8228,Clear,25.6,6.7,30,9.3,0,16.1,29.9,,No,No,No
6820,Clear,11.1,-11.1,20,16.7,310,16.1,30,,No,No,No
808,Scattered_Clouds,4.4,-8.3,40,5.6,0,16.1,30.3,,No,No,No
8263,Scattered_Clouds,17.8,6.1,46,7.4,0,16.1,29.9,,No,No,No
6459,Overcast,3.9,0.6,79,22.2,60,16.1,30.3,,No,No,No
252,Clear,3.3,-6.7,48,5.6,0,16.1,30.3,,No,No,No
1008,Overcast,13.9,9.4,74,0,0,11.3,29.9,,No,No,No
5536,Rain,6.1,4.4,89,5.6,0,2.4,29.8,3.3,No,Y,No
4268,Clear,22.8,16.1,66,7.4,0,14.5,30.1,,No,No,No
4349,Clear,11.7,1.1,48,5.6,320,16.1,29.8,,No,No,No
8350,Overcast,10,0.6,52,16.7,290,16.1,29.6,,No,No,No
1153,Overcast,9.4,2.2,61,9.3,70,16.1,30.1,,No,No,No
7374,Mostly_Cloudy,3.9,-1.1,70,18.5,240,16.1,29.4,,No,No,No
2854,Clear,11.1,-11.7,19,14.8,320,16.1,30,,No,No,No
4740,Light_Rain,4.4,2.2,86,14.8,70,8,29.9,3,No,Y,No
417,Unknown,8,0,57,,0,,,,No,No,No
1116,Overcast,13.3,11.1,87,7.4,50,11.3,29.9,1,No,No,No
8162,Clear,18.9,5,40,0,0,16.1,30.1,,No,No,No
2682,Overcast,-0.6,-2.2,89,14.8,20,3.2,30.1,0.3,No,No,No
614,Clear,15,-0.6,35,16.7,250,16.1,29.8,,No,No,No
4972,Clear,28.3,13.3,39,5.6,0,14.5,30.1,,No,No,No
2377,Light_Rain,13.3,12.2,93,9.3,0,6.4,29.5,1.5,No,Y,No
1785,Clear,5,-2.2,60,11.1,0,16.1,29.9,,No,No,No
5398,Clear,20.6,11.1,54,5.6,0,16.1,30.1,,No,No,No
3696,Overcast,15,8.9,67,0,0,16.1,29.8,,No,No,No
1763,Clear,10,-1.7,44,,0,16.1,29.8,,No,No,No
968,Clear,21.7,17.2,75,5.6,70,12.9,30.2,,No,No,No
6735,Overcast,10.6,6.7,77,11.1,0,16.1,29.8,,No,No,No
3965,Clear,21.7,13.9,61,5.6,0,16.1,30.2,,No,No,No
4821,Partly_Cloudy,8.3,-1.1,52,22.2,290,16.1,29.6,,No,No,No
3400,Clear,18.3,10.6,61,11.1,0,14.5,30.2,,No,No,No
165,Clear,13.9,-4.4,28,0,0,16.1,30.2,,No,No,No
8113,Clear,15.6,-3.3,27,9.3,230,16.1,29.8,,No,No,No
5973,Clear,26,9,34,0,0,16.1,30,,No,No,No
8027,Overcast,26.1,17.8,60,13,180,12.9,29.9,,No,No,No
2923,Clear,6.7,-6.1,40,14.8,360,16.1,30.2,,No,No,No
2051,Clear,14.4,-0.6,36,18.5,10,16.1,29.9,,No,No,No
5309,Overcast,4.4,-7.2,43,11.1,290,16.1,30,,No,No,No
3718,Light_Freezing_Rain,-0.6,-2.2,89,13,70,4.8,30.2,0.3,No,Y,No
3567,Clear,22.2,15.6,66,7.4,0,14.5,30.1,,No,No,No
6391,Scattered_Clouds,22.2,16.1,68,9.3,80,14.5,30.1,,No,No,No
7608,Overcast,8.9,5,77,16.7,60,14.5,29.9,,No,No,No
1551,Clear,25,6.1,30,5.6,0,16.1,29.9,,No,No,No
4665,Clear,17.8,5.6,45,5.6,0,16.1,29.9,,No,No,No
6280,Scattered_Clouds,23.9,16.7,64,0,0,12.9,30.2,,No,No,No
5842,Partly_Cloudy,17.8,10.6,63,0,0,16.1,30,,No,No,No
5081,Clear,13.9,-3.9,29,13,240,16.1,29.8,,No,No,No
6225,Clear,31.1,17.8,45,11.1,170,11.3,30.1,,No,No,No
5455,Overcast,1.7,-14.4,30,9.3,280,16.1,30.2,,No,No,No
1254,Clear,4.4,-15,23,20.4,320,16.1,29.9,,No,No,No
3274,Scattered_Clouds,28.3,20,60,11.1,0,16.1,29.8,,No,No,No
