id,wea_conditions,wea_temp,wea_dptemp,wea_humidity,wea_windspeed,wea_winddir,wea_visibility,wea_pressure,wea_precipitation,wea_fog,wea_rain,wea_snow
7322,Mostly_Cloudy,22.8,11.7,49,7.4,0,16.1,29.9,,No,No,No
5677,Clear,12.8,-2.8,34,0,0,16.1,29.9,,No,No,No
5269,Clear,16.7,-6.7,20,5.6,0,16.1,30.3,,No,No,No
7334,Overcast,9.4,7.2,86,13,70,16.1,29.8,0.8,No,No,No
3356,Light_Rain,11.7,10.6,93,5.6,0,4,29.9,1.8,No,Y,No
5794,Overcast,16.7,14.4,86,0,0,14.5,30.1,,No,No,No
7913,Overcast,2.2,-5.6,57,18.5,40,16.1,30,,No,No,No
4610,Overcast,10.6,2.8,59,5.6,0,16.1,29.8,0,No,No,No
380,Overcast,6.1,3.9,86,29.6,70,9.7,29.9,0.3,No,No,No
1914,Clear,16.7,-8.3,18,5.6,0,16.1,30,,No,No,No
6783,Haze,19.4,16.7,84,0,0,8,30.1,,No,No,No
7317,Clear,7.8,-2.8,47,13,60,16.1,30.4,,No,No,No
3777,Clear,21.1,7.8,42,9.3,0,16.1,30,,No,No,No
5657,Overcast,10.6,5.6,71,0,0,16.1,29.5,,No,No,No
5844,Scattered_Clouds,24.4,18.9,71,11.1,0,14.5,29.9,,No,No,No
2501,Clear,27.8,13.3,41,7.4,0,14.5,29.7,,No,No,No
4829,Light_Rain,11.1,9.4,89,9.3,100,4.8,29.7,1,No,Y,No
2842,Clear,15,7.2,60,0,0,16.1,29.9,,No,No,No
6488,Clear,13.9,5,55,0,0,16.1,30.2,,No,No,No
6235,Clear,31.1,17.8,45,11.1,170,11.3,30.1,,No,No,No
1873,Clear,21.7,15,66,5.6,0,16.1,30.1,,No,No,No
2960,Partly_Cloudy,-2.2,-13.3,43,7.4,0,16.1,30,,No,No,No
2985,Clear,18.9,-7.2,17,13,310,16.1,30,,No,No,No
4933,Clear,-1.7,-15.6,35,0,0,16.1,30.2,,No,No,No
6810,Mostly_Cloudy,3.3,-2.2,68,18.5,200,16.1,30.2,,No,No,No
730,Light_Rain,17.2,14.4,84,13,90,4.8,30.1,0,No,Y,No
695,Scattered_Clouds,17.2,7.8,54,9.3,10,16.1,29.9,,No,No,No
2905,Clear,6.1,-6.7,40,9.3,0,16.1,29.8,,No,No,No
1831,Clear,7.2,-14.4,20,7.4,10,16.1,30.1,,No,No,No
1376,Overcast,9.4,3.3,66,13,60,16.1,30.2,,No,No,No
3863,Partly_Cloudy,26.7,17.2,56,5.6,170,11.3,30,,No,No,No
5567,Clear,3.9,-5.6,50,13,290,16.1,29.9,,No,No,No
2255,Clear,23.9,3.3,26,5.6,70,16.1,30.2,,No,No,No
5050,Haze,12.8,10,83,9.3,0,8,29.7,,No,No,No
5448,Rain,18.9,17.8,93,5.6,0,1.6,29.7,1.3,No,Y,No
1975,Rain,20.6,19.4,93,5.6,0,2.4,29.9,1.8,No,Y,No
1235,Overcast,9.4,2.2,61,0,0,16.1,30.1,,No,No,No
1468,Partly_Cloudy,12.2,3.9,57,,0,16.1,30.1,,No,No,No
8101,Snow,-2.8,-5.6,81,11.1,70,0.8,30.4,0.3,No,No,Y
6516,Overcast,20.6,19.4,93,7.4,0,4,29.7,,No,No,No
2487,Light_Rain,9.4,2.2,61,9.3,30,14.5,30,0,No,Y,No
2356,Scattered_Clouds,6.7,-1.7,55,7.4,0,16.1,29.7,,No,No,No
3032,Clear,12.8,-2.8,34,0,0,16.1,29.9,,No,No,No
1723,Clear,28.3,13.3,39,5.6,0,14.5,30.1,,No,No,No
1826,Rain,18.9,17.8,93,5.6,0,1.6,29.7,1.3,No,Y,No
4336,Clear,21.7,5,34,13,50,16.1,30,,No,No,No
4653,Unknown,16,12,77,,0,,,,No,No,No
6674,Clear,18.9,5,40,5.6,0,16.1,30.1,,No,No,No
7253,Scattered_Clouds,22.2,16.1,68,9.3,80,14.5,30.1,,No,No,No
5817,Clear,9.4,1.7,59,18.5,70,16.1,30.1,,No,No,No
6204,Overcast,17.8,16.1,90,0,0,4.8,30.1,0.3,No,No,No
1519,Clear,14.4,11.1,81,0,0,11.3,29.9,,No,No,No
2723,Mostly_Cloudy,22.2,17.2,73,20.4,70,14.5,30.1,,No,No,No
5805,Overcast,12.2,6.1,66,13,80,16.1,29.7,,No,No,No
2458,Overcast,13.3,2.8,49,11.1,0,16.1,30.2,,No,No,No
3665,Clear,10.6,-6.1,31,18.5,290,16.1,29.8,,No,No,No
7396,Light_Rain,5,2.8,86,20.4,60,4,30.1,0.8,No,Y,No
5291,Overcast,13.3,5.6,60,13,40,16.1,29.6,,No,No,No
5486,Overcast,17.2,14.4,84,0,0,12.9,30.1,,No,No,No
4300,Haze,28.9,17.2,49,5.6,0,9.7,30.1,,No,No,No
4431,Clear,7.8,-3.3,46,11.1,0,16.1,30.4,,No,No,No
4201,Overcast,2.2,-11.7,36,13,60,16.1,30.3,,No,No,No
8134,Clear,18.9,10,56,5.6,0,14.5,29.9,,No,No,No
877,Light_Freezing_Rain,0.6,-1.1,89,7.4,70,4,30.2,0,No,Y,No
3916,Light_Rain,5.6,3.9,89,18.5,90,4.8,29.8,0.5,No,Y,No
1052,Clear,4.4,-1.7,65,5.6,0,16.1,30.1,,No,No,No
2189,Mostly_Cloudy,3.3,-2.2,68,18.5,200,16.1,30.2,,No,No,No
3178,Clear,1.7,-16.7,25,9.3,0,16.1,30.4,,No,No,No
5999,Light_Rain,13.3,11.7,90,9.3,150,4.8,30,0.3,No,Y,No
3883,Overcast,9.4,3.9,69,9.3,0,14.5,30,,No,No,No
3675,Unknown,13,-2,36,,0,,,,No,No,No
6711,Clear,11.7,-2.8,37,9.3,0,16.1,30.2,,No,No,No
2596,Overcast,1.1,-7.2,54,11.1,0,16.1,29.8,,No,No,No
6759,Clear,12.2,1.7,49,0,0,16.1,29.8,,No,No,No
5233,Overcast,8.3,6.7,90,9.3,330,4.8,29.6,,No,No,No
2118,Overcast,6.7,-1.7,55,,0,16.1,29.9,,No,No,No
5804,Overcast,8.9,-1.7,48,37,290,16.1,29.7,,No,No,No
8068,Overcast,6.7,-1.7,55,9.3,0,16.1,29.9,,No,No,No
1636,Light_Snow,-0.6,-3.9,79,18.5,50,4,30.1,0,No,No,Y
7942,Overcast,13.9,8.9,72,0,0,11.3,29.9,,No,No,No
2761,Clear,3.3,-7.8,45,16.7,360,16.1,30,,No,No,No
4258,Clear,5,-17.2,19,7.4,0,16.1,30.3,,No,No,No
3441,Light_Rain,6.1,3.3,82,7.4,30,6.4,29.8,0.5,No,Y,No
549,Light_Rain,11.1,8.9,86,,0,4.8,29.8,0,No,Y,No
6535,Overcast,4.4,2.2,86,27.8,70,8,30.1,0.3,No,No,No
75,Clear,18.9,10,56,5.6,0,16.1,29.8,,No,No,No
185,Clear,2.8,-6.1,52,11.1,0,16.1,30.3,,No,No,No
8393,Light_Snow,-2.8,-10.6,56,11.1,0,4.8,30.1,0,No,No,Y
2351,Clear,11.1,1.1,50,13,240,16.1,29.8,,No,No,No
3398,Mostly_Cloudy,7.8,4.4,79,13,60,16.1,29.6,0,No,No,No
3570,Partly_Cloudy,26.1,16.7,56,14.8,170,11.3,30,,No,No,No
1539,Partly_Cloudy,2.2,-5,59,7.4,0,16.1,29.9,,No,No,No
4934,Partly_Cloudy,2.8,-2.2,70,5.6,0,16.1,29.8,,No,No,No
1310,Clear,22.8,15.6,64,9.3,0,14.5,30.1,,No,No,No
1760,Light_Rain,11.7,10.6,93,7.4,110,4.8,29.9,1.8,No,Y,No
2296,Clear,25.6,15.6,54,0,0,14.5,30.2,,No,No,No
230,Mostly_Cloudy,1.1,-9.4,46,9.3,0,16.1,30.1,,No,No,No
7934,Clear,6.1,-10,31,20.4,310,16.1,29.9,,No,No,No
545,Clear,8.9,-1.1,50,,0,16.1,29.9,,No,No,No
7476,Overcast,10.6,7.2,80,11.1,180,14.5,30.1,,No,No,No
4917,Clear,4.4,-17.8,19,7.4,0,16.1,30.5,,No,No,No
2186,Overcast,18.3,8.9,54,5.6,0,16.1,29.8,,No,No,No
6576,Clear,25,11.7,43,11.1,60,16.1,30.2,,No,No,No
1193,Clear,-1.1,-11.1,47,9.3,0,16.1,30.2,,No,No,No
1856,Clear,23.9,14.4,55,5.6,0,11.3,30.1,,No,No,No
7127,Clear,-9.4,-26.7,24,0,0,16.1,30.5,,No,No,No
1565,Overcast,11.7,3.9,59,5.6,0,16.1,29.2,,No,No,No
1266,Clear,-4.4,-16.7,38,25.9,300,16.1,30,,No,No,No
3021,Clear,21.7,13.3,59,9.3,0,16.1,30.1,,No,No,No
1087,Overcast,10,7.8,86,20.4,70,14.5,29.7,0,No,No,No
3593,Light_Rain,11.1,10,93,11.1,0,8,29.9,0.3,No,Y,No
8297,Clear,24.4,13.3,50,7.4,240,16.1,30.1,,No,No,No
7760,Clear,19.4,12.8,66,5.6,260,16.1,30.1,,No,No,No
1231,Clear,15,-0.6,35,16.7,250,16.1,29.8,,No,No,No
2643,Partly_Cloudy,2.2,-6.7,52,0,0,16.1,30.2,,No,No,No
4835,Clear,5,-1.7,62,5.6,0,16.1,30.1,,No,No,No
3690,Overcast,3.9,-1.7,67,7.4,0,16.1,30.2,,No,No,No
7208,Overcast,3.3,-1.7,70,,0,16.1,29.5,,No,No,No
4450,Overcast,12.2,5.6,64,13,90,16.1,29.7,,No,No,No
3993,Overcast,13.3,11.7,90,9.3,0,11.3,29.9,,No,No,No
1415,Overcast,4.4,2.8,89,22.2,70,3.2,30,0.3,No,No,No
4620,Clear,11.1,1.7,53,5.6,0,16.1,30.2,,No,No,No
7319,Overcast,11.7,-3.9,34,16.7,300,16.1,29.8,,No,No,No
3842,Partly_Cloudy,14.4,12.2,87,,0,16.1,29.8,0.3,No,No,No
4152,Clear,-17.8,-27.8,43,,0,16.1,30.5,,No,No,No
8079,Overcast,13.3,8.9,75,5.6,0,12.9,29.9,,No,No,No
7236,Overcast,20.6,19.4,93,5.6,0,4,29.9,4.1,No,No,No
1475,Clear,12.2,2.2,51,13,260,16.1,29.8,,No,No,No
378,Partly_Cloudy,15.6,8.3,62,13,60,11.3,29.6,,No,No,No
5882,Clear,9.4,1.7,59,18.5,70,16.1,30.1,,No,No,No
460,Overcast,7.2,1.1,65,,0,16.1,30.2,,No,No,No
6520,Overcast,23.9,20.6,82,9.3,270,12.9,29.8,,No,No,No
1787,Clear,1.1,-7.8,52,20.4,310,16.1,29.7,,No,No,No
7447,Light_Rain,18.9,17.8,93,5.6,0,4.8,29.7,1.5,No,Y,No
3475,Clear,5,-6.1,45,14.8,50,16.1,30.3,,No,No,No
1302,Clear,24.4,12.8,48,5.6,0,16.1,30.1,,No,No,No
2422,Overcast,9.4,-2.2,44,0,0,16.1,30.1,,No,No,No
6107,Mostly_Cloudy,6.1,1.7,74,5.6,110,16.1,30.4,,No,No,No
7668,Overcast,12.8,11.7,93,9.3,0,4.8,29.9,0.3,No,No,No
3231,Clear,-11.1,-27.8,25,7.4,0,16.1,30.5,,No,No,No
5957,Clear,26.7,6.7,28,5.6,250,14.5,30.1,,No,No,No
3849,Clear,6.7,-8.9,32,5.6,0,16.1,30.2,,No,No,No
7060,Clear,17.8,3.3,38,5.6,260,16.1,30.2,,No,No,No
3207,Clear,2.2,-4.4,62,9.3,180,16.1,30.3,,No,No,No
6014,Clear,2.8,-15.6,25,9.3,0,16.1,30.4,,No,No,No
6805,Overcast,7.2,5,86,11.1,70,6.4,29.9,,No,No,No
1712,Overcast,18.3,17.2,93,9.3,0,8,29.8,1,No,No,No
7273,Clear,13.3,5.6,60,0,0,16.1,30.1,,No,No,No
7097,Overcast,18.3,14.4,78,0,0,16.1,30.1,,No,No,No
7343,Clear,28.3,13.3,39,5.6,0,14.5,30.1,,No,No,No
1991,Clear,21.1,13.3,61,9.3,80,16.1,30.1,,No,No,No
5107,Clear,13.9,-3.9,29,13,240,16.1,29.8,,No,No,No
2245,Overcast,1.7,0,89,18.5,70,6.4,30.2,0.5,No,No,No
1094,Overcast,4.4,2.8,89,22.2,70,3.2,30,0.3,No,No,No
6272,Clear,9.4,-13.3,19,18.5,310,16.1,30.1,,No,No,No
2503,Clear,-1.1,-12.8,41,14.8,320,16.1,30.1,,No,No,No
352,Overcast,3.3,-8.9,41,22.2,320,16.1,29.6,,No,No,No
2890,Unknown,15,-4,27,,0,,,,No,No,No
5092,Mostly_Cloudy,4.4,-1.1,68,14.8,250,16.1,29.4,,No,No,No
6902,Haze,14.4,10.6,78,0,0,9.7,29.9,,No,No,No
7025,Clear,17.2,5,45,0,0,16.1,30.1,,No,No,No
7768,Clear,1.7,-12.8,34,9.3,270,16.1,30.4,,No,No,No
1210,Clear,17.8,3.9,40,9.3,320,16.1,30.3,,No,No,No
5641,Clear,15.6,2.2,41,9.3,90,16.1,30.2,,No,No,No
4499,Clear,11.7,-2.2,38,9.3,300,16.1,29.9,,No,No,No
2379,Clear,21.7,-5.6,16,0,0,16.1,30.3,,No,No,No
8099,Clear,11.7,0,45,5.6,260,16.1,29.8,,No,No,No
2993,Overcast,11.7,9.4,86,11.1,110,9.7,29.8,,No,No,No
3986,Overcast,1.7,-7.8,50,0,0,16.1,30.4,,No,No,No
3279,Clear,3.3,-3.9,60,13,300,16.1,29.8,,No,No,No
6715,Clear,3.9,-7.2,45,14.8,300,16.1,30,,No,No,No
7602,Mostly_Cloudy,21.1,7.8,42,5.6,260,16.1,29.8,,No,No,No
6927,Haze,22.2,17.8,76,0,0,8,30.1,,No,No,No
3643,Partly_Cloudy,5.6,-3.3,53,13,290,16.1,29.9,,No,No,No
1802,Overcast,10.6,-0.6,46,14.8,160,16.1,30,,No,No,No
1778,Snow,0,-2,87,18.5,360,0.8,30.1,0,Y,No,Y
5338,Clear,24.4,17.2,64,11.1,0,12.9,30.1,,No,No,No
5809,Overcast,11.1,3.3,59,,0,16.1,29.5,,No,No,No
8247,Partly_Cloudy,0.6,-11.7,40,7.4,0,16.1,30,,No,No,No
2755,Overcast,19.4,16.7,84,5.6,0,12.9,29.9,,No,No,No
4118,Light_Rain,1.1,-0.6,89,7.4,40,2.4,30.1,0.8,No,Y,No
625,Overcast,-1.7,-13.9,40,9.3,0,16.1,30.1,,No,No,No
5978,Clear,26.7,20.6,69,0,0,14.5,29.7,,No,No,No
6296,Clear,13.3,7.2,67,0,0,16.1,30,,No,No,No
5397,Clear,13.3,-5.6,27,0,0,16.1,30.3,,No,No,No
7484,Overcast,4.4,-0.6,70,14.8,190,16.1,30.1,,No,No,No
7458,Clear,16.1,-1.1,31,9.3,0,16.1,30.2,,No,No,No
6345,Overcast,3.9,-1.1,70,16.7,250,16.1,29.5,,No,No,No
4926,Scattered_Clouds,22.2,15.6,66,16.7,60,16.1,30.2,,No,No,No
3791,Mostly_Cloudy,21.1,19.4,90,,0,6.4,29.7,,No,No,No
2593,Clear,1.1,-7.8,52,20.4,310,16.1,29.7,,No,No,No
7079,Clear,13.3,-4.4,29,5.6,0,16.1,30.1,,No,No,No
5380,Partly_Cloudy,27.2,22.2,74,5.6,0,11.3,29.8,,No,No,No
6455,Partly_Cloudy,11.1,6.1,71,5.6,0,16.1,29.4,,No,No,No
6750,Light_Rain,6.7,-2.2,53,18.5,30,16.1,30.1,0,No,Y,No
2137,Clear,13.9,6.1,59,0,0,16.1,30.1,,No,No,No
6369,Clear,-2.8,-13.3,45,,0,16.1,30.1,,No,No,No
4397,Scattered_Clouds,25.6,16.1,56,,0,14.5,30,,No,No,No
179,Clear,10.6,2.2,56,18.5,80,16.1,30.1,,No,No,No
6765,Light_Snow,2.2,-4.4,62,7.4,0,3.2,30,0,No,No,Y
2586,Clear,27.8,18.3,56,0,0,11.3,30.1,,No,No,No
6331,Clear,26,9,34,16.7,270,16.1,30,,No,No,No
82,Mostly_Cloudy,19.4,6.7,44,20.4,240,16.1,30,,No,No,No
4213,Clear,19,15,78,5.6,270,16.1,29.9,,No,No,No
6096,Clear,9.4,0,52,14.8,180,16.1,30.2,,No,No,No
7289,Overcast,-1.7,-13.9,40,9.3,0,16.1,30.1,,No,No,No
2002,Overcast,12.8,0.6,43,0,0,16.1,30.1,,No,No,No
831,Clear,17.2,7.8,54,5.6,70,16.1,30.3,,No,No,No
3765,Light_Rain,20.6,19.4,93,0,0,9.7,30,2.3,No,Y,No
6690,Overcast,11.1,2.2,54,7.4,60,16.1,30.1,,No,No,No
2681,Overcast,2.2,0,86,22.2,70,4.8,30.2,0.5,No,No,No
3074,Light_Rain,21.7,20.6,93,0,0,2.8,29.8,3,No,Y,No
3230,Mostly_Cloudy,25,19.4,71,9.3,160,14.5,29.9,,No,No,No
7897,Partly_Cloudy,22,20,88,0,0,16.1,29.9,,No,No,No
2563,Clear,-3.3,-18.3,31,29.6,310,16.1,29.8,,No,No,No
940,Overcast,11.1,6.1,71,7.4,0,16.1,30,,No,No,No
6188,Clear,0.6,-9.4,48,13,350,16.1,30.1,,No,No,No
6786,Light_Rain,12.8,11.7,93,16.7,170,4,29.6,0,No,Y,No
5526,Clear,0,-17.2,27,16.7,320,16.1,30,,No,No,No
2264,Clear,27.8,13.3,41,7.4,0,16.1,30,,No,No,No
3685,Clear,25,7.2,32,0,0,16.1,29.9,,No,No,No
376,Clear,3.9,-6.1,49,16.7,20,16.1,30,,No,No,No
7968,Overcast,3.9,-13.9,27,5.6,0,16.1,30.1,,No,No,No
3234,Clear,1.7,-8.9,46,0,0,16.1,30.1,,No,No,No
385,Clear,0,-12.2,40,13,310,16.1,30.2,,No,No,No
297,Clear,13.3,5,57,0,0,16.1,30.1,,No,No,No
1939,Clear,15,-3.3,28,0,0,16.1,30.4,,No,No,No
6079,Clear,0,-13.9,35,13,30,16.1,30.3,,No,No,No
8237,Rain,5.6,3.9,89,20.4,70,4.8,29.5,2,No,Y,No
941,Overcast,10,6.7,80,18.5,50,16.1,29.8,,No,No,No
1388,Overcast,18.9,17.2,90,0,0,9.7,29.9,,No,No,No
1930,Clear,11.1,1.7,53,5.6,0,16.1,30.2,,No,No,No
7576,Partly_Cloudy,7.8,-12.8,22,7.4,40,16.1,30.1,,No,No,No
5985,Light_Snow,-1.1,-3.9,82,7.4,0,3.2,29.8,0,No,No,Y
914,Clear,17.8,-3.9,23,5.6,70,16.1,30.4,,No,No,No
7906,Light_Rain,21.7,20.6,93,0,0,11.3,29.8,0.3,No,Y,No
746,Mostly_Cloudy,11.7,8.9,83,11.1,170,16.1,29.3,,No,No,No
2697,Light_Rain,17.8,15.6,87,7.4,0,6.4,29.8,1.3,No,Y,No
6206,Overcast,12.2,6.1,66,0,0,16.1,29.6,,No,No,No
7981,Clear,7.2,0,60,0,0,16.1,30.1,,No,No,No
162,Clear,7.8,-1.1,54,7.4,0,16.1,30.1,,No,No,No
1459,Partly_Cloudy,13.3,8.3,72,13,70,16.1,30.4,,No,No,No
3133,Haze,17.8,14.4,80,5.6,60,8,30.1,,No,No,No
1498,Scattered_Clouds,17.2,7.8,54,9.3,10,16.1,29.9,,No,No,No
3999,Clear,28.3,19.4,58,7.4,0,16.1,29.8,,No,No,No
7722,Mostly_Cloudy,4.4,-1.7,65,20.4,40,16.1,30.1,,No,No,No
7276,Clear,3.9,-10,36,20.4,60,16.1,30.3,,No,No,No
6015,Overcast,12.2,-1.7,38,0,0,16.1,29.9,,No,No,No
7478,Partly_Cloudy,16.7,10,65,7.4,0,16.1,30.4,,No,No,No
878,Clear,13.9,-4.4,28,5.6,160,16.1,30.4,,No,No,No
7587,Overcast,12.8,5.6,62,0,0,16.1,30.1,,No,No,No
7344,Clear,14.4,-2.2,32,9.3,190,16.1,30,,No,No,No
1644,Overcast,15,8.9,67,0,0,16.1,29.8,,No,No,No
4310,Overcast,10,8.9,93,5.6,0,9.7,29.8,,No,No,No
6930,Overcast,2.2,-11.7,36,13,60,16.1,30.3,,No,No,No
1690,Clear,18.9,17.2,90,5.6,0,12.9,29.7,,No,No,No
2134,Haze,19.4,16.7,84,0,0,8,30,0,No,No,No
4224,Clear,11.7,-3.3,35,11.1,0,16.1,29.8,,No,No,No
7503,Mostly_Cloudy,20,11.1,56,11.1,0,16.1,30.3,,No,No,No
7670,Clear,-0.6,-14.4,35,9.3,0,16.1,30.6,,No,No,No
6506,Scattered_Clouds,12.2,6.1,66,5.6,0,16.1,29.8,,No,No,No
943,Mostly_Cloudy,7.2,-2.8,49,,0,16.1,30.1,,No,No,No
3161,Partly_Cloudy,-7.8,-16.7,50,16.7,360,16.1,30.3,,No,No,No
116,Overcast,21.1,9.4,47,9.3,360,16.1,29.9,,No,No,No
7018,Clear,18.3,8.9,54,0,0,16.1,29.9,,No,No,No
7156,Overcast,11.1,-0.6,45,0,0,16.1,30.1,,No,No,No
4650,Clear,7.2,2.8,74,16.7,300,16.1,30,,No,No,No
7430,Clear,0,-12.2,40,13,310,16.1,30.2,,No,No,No
1881,Clear,26,9,34,13,260,16.1,30,,No,No,No
2322,Clear,13.9,10.6,81,0,0,11.3,29.9,,No,No,No
6672,Overcast,26.1,17.8,60,14.8,50,16.1,30,0,No,No,No
4839,Light_Snow,-1.1,-2.8,88,11.1,80,4,30.2,1,No,No,Y
4957,Overcast,8.9,5,77,16.7,60,14.5,29.9,,No,No,No
6602,Scattered_Clouds,17.2,7.8,54,9.3,10,16.1,29.9,,No,No,No
6780,Clear,-12.8,-27.2,30,,0,16.1,30.5,,No,No,No
1491,Haze,24.4,17.2,64,13,160,9.7,29.9,,No,No,No
6537,Scattered_Clouds,14.4,-0.6,36,14.8,280,16.1,29.7,,No,No,No
6454,Overcast,10,7.2,83,18.5,70,14.5,29.8,,No,No,No
4047,Clear,22,19,83,0,0,16.1,29.9,,No,No,No
4521,Clear,-1.1,-8.9,56,11.1,0,16.1,30.1,,No,No,No
4644,Clear,8.3,1.7,63,0,0,16.1,30.4,,No,No,No
2899,Heavy_Rain,18.9,14.4,75,11.1,0,2.8,29.7,0,No,Y,No
7383,Overcast,0,-9.4,50,9.3,0,16.1,30.1,,No,No,No
5384,Haze,12.8,8.9,77,0,0,9.7,29.9,,No,No,No
1034,Clear,27.2,19.4,62,0,0,12.9,29.9,,No,No,No
418,Light_Rain,17.8,15.6,87,5.6,300,6.4,29.8,0,No,Y,No
73,Haze,13.9,8.9,72,11.1,70,9.7,29.7,,No,No,No
648,Clear,22.8,12.8,53,11.1,0,16.1,30.1,,No,No,No
2304,Overcast,10,7.8,86,20.4,70,14.5,29.7,0,No,No,No
665,Overcast,6.7,1.7,71,,0,16.1,30.3,,No,No,No
2975,Scattered_Clouds,22.2,10.6,48,7.4,0,16.1,30.1,,No,No,No
1069,Clear,7.8,-1.1,54,9.3,0,16.1,29.9,,No,No,No
1972,Clear,6.7,-2.2,53,,0,16.1,30.4,,No,No,No
2814,Haze,29.4,22.8,67,7.4,0,9.7,29.7,,No,No,No
476,Clear,23,14,57,11.1,240,16.1,30,,No,No,No
5857,Light_Rain,21.7,20.6,93,0,0,6.4,29.8,0.3,No,Y,No
830,Clear,10,-5,35,,0,16.1,30.3,,No,No,No
7498,Clear,22.2,13.9,59,9.3,70,16.1,30.2,,No,No,No
7443,Mostly_Cloudy,27.8,18.9,58,7.4,0,12.9,30,,No,No,No
6072,Overcast,10.6,-0.6,46,14.8,160,16.1,30,,No,No,No
5438,Overcast,7.2,-1.7,53,11.1,280,16.1,29.7,,No,No,No
3758,Scattered_Clouds,22.2,7.8,40,18.5,160,16.1,29.9,,No,No,No
3697,Clear,2.8,-15.6,25,14.8,260,16.1,30.4,,No,No,No
2873,Rain,5.6,3.9,89,20.4,70,4.8,29.5,2,No,Y,No
1485,Clear,17.8,8.3,54,0,0,16.1,29.9,,No,No,No
1801,Clear,1.7,-7.2,52,11.1,40,16.1,30.1,,No,No,No
5313,Clear,26.7,6.7,28,5.6,250,14.5,30.1,,No,No,No
7656,Mostly_Cloudy,1.1,-11.1,40,24.1,70,16.1,30.2,,No,No,No
6194,Unknown,21,6,38,,0,,,,No,No,No
281,Haze,-1.1,-4.4,79,20.4,50,4,30.1,0,No,No,No
8449,Overcast,15.6,6.1,53,0,0,16.1,30.1,,No,No,No
950,Clear,-6.1,-16.7,44,31.5,280,16.1,29.9,,No,No,No
1368,Overcast,1.7,-0.6,85,25.9,70,4.8,30.2,1.3,No,No,No
2358,Rain,11.7,10.6,93,7.4,0,3.2,29.9,3.3,No,Y,No
7999,Overcast,11.7,3.3,57,0,0,16.1,30,,No,No,No
2668,Unknown,20,8.9,49,9.3,300,16.1,29.9,,No,No,No
1228,Light_Rain,11.1,9.4,89,0,0,6.4,29.4,0.8,No,Y,No
8147,Clear,23.9,6.7,33,9.3,0,16.1,29.9,,No,No,No
6462,Partly_Cloudy,3.9,-3.9,57,13,280,16.1,30,,No,No,No
2313,Overcast,11.7,-3.9,34,16.7,300,16.1,29.8,,No,No,No
6108,Light_Rain,11.1,10,93,13,70,9.7,29.9,0.3,No,Y,No
6138,Clear,17.8,3.3,38,5.6,260,16.1,30.2,,No,No,No
1660,Mostly_Cloudy,5,-3.9,53,7.4,0,16.1,30.1,,No,No,No
6570,Overcast,15.6,12.8,83,5.6,0,16.1,30.1,,No,No,No
5592,Overcast,7,-4,46,16.7,60,16.1,30.3,,No,No,No
5907,Scattered_Clouds,26.1,21.7,77,,0,11.3,29.8,,No,No,No
7797,Clear,2.2,-6.7,52,0,0,16.1,30.3,,No,No,No
6741,Light_Rain,18.3,14.4,78,7.4,0,4.8,29.8,0,No,Y,No
5760,Overcast,11.7,2.8,55,0,0,16.1,29.9,,No,No,No
4628,Partly_Cloudy,7.8,-12.8,22,7.4,40,16.1,30.1,,No,No,No
4973,Scattered_Clouds,2.2,-12.8,33,18.5,50,16.1,30.1,,No,No,No
7682,Clear,26,8,32,7.4,290,16.1,30,,No,No,No
5929,Clear,20.6,-2.8,21,14.8,190,16.1,30.3,,No,No,No
4789,Scattered_Clouds,20,14,68,0,0,12.9,30.1,,No,No,No
35,Overcast,10,2.2,59,5.6,200,16.1,30.1,,No,No,No
7041,Mostly_Cloudy,20,10.6,55,14.8,80,16.1,30.3,,No,No,No
5203,Haze,21.1,17.8,81,7.4,260,8,30,,No,No,No
6118,Clear,6.7,-5.6,42,18.5,300,16.1,29.9,,No,No,No
7644,Overcast,3.3,2.2,93,0,0,1.6,30,0,No,No,No
2449,Clear,12.2,2.2,51,13,260,16.1,29.8,,No,No,No
2254,Clear,7.2,-9.4,30,7.4,0,16.1,30.3,,No,No,No
3817,Clear,25.6,17.2,60,9.3,0,12.9,30,,No,No,No
2067,Overcast,7.2,6.1,93,0,0,4.8,30,,No,No,No
3518,Clear,4.4,-12.2,29,22.2,310,16.1,29.8,,No,No,No
5000,Clear,5,-5.6,47,,0,16.1,30.2,,No,No,No
2110,Overcast,10,8.3,89,16.7,70,4.8,29.8,0.3,No,No,No
3337,Clear,3.3,-6.7,48,16.7,250,16.1,30,,No,No,No
756,Clear,8.3,1.1,61,5.6,50,16.1,30.4,,No,No,No
3073,Clear,8.9,1.7,61,0,0,16.1,30.5,,No,No,No
4974,Clear,20,4.4,36,22.2,20,16.1,29.8,,No,No,No
2497,Mostly_Cloudy,11.7,0,45,7.4,0,16.1,30.3,,No,No,No
2782,Overcast,1.7,-0.6,85,33.3,70,8,30.2,0.3,No,No,No
4677,Scattered_Clouds,7.8,-12.2,23,0,0,16.1,30.1,,No,No,No
4822,Overcast,17.8,14.4,80,9.3,70,12.9,30.2,,No,No,No
2945,Clear,27.8,18.3,56,7.4,0,12.9,30,,No,No,No
5624,Overcast,20.6,19.4,93,7.4,0,4,29.7,,No,No,No
3629,Clear,4.4,-12.2,29,22.2,310,16.1,29.8,,No,No,No
1299,Clear,5.6,-8.3,37,13,290,16.1,29.7,,No,No,No
